City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port-vila,-17.7338,168.3219,24.78,100,20,1.03,VU,1712756406
83,grand baie,-20.0182,57.5802,27.47,81,100,1.79,MU,1712756406
84,al hayy,32.1735,46.0433,30.29,27,0,9.93,IQ,1712756406
85,west island,-12.1568,96.8225,27.99,69,90,6.69,CC,1712756406
86,tura,25.5198,90.2201,26.07,27,100,2.08,IN,1712756407
87,new norfolk,-42.7826,147.0587,12.72,97,14,1.23,AU,1712756407
88,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.67,PT,1712756407
89,ust-nera,64.5667,143.2,-16.05,97,39,1.67,RU,1712756407
90,poronaysk,49.2167,143.1167,1.62,71,0,4.45,RU,1712756407
91,papatowai,-46.5619,169.4708,12.93,95,100,0.34,NZ,1712756407
92,san jose del cabo,23.0589,-109.6977,18.61,62,0,1.54,MX,1712756317
93,mead,47.7674,-117.3549,3.58,77,0,0.0,US,1712756407
94,kiama,-34.6833,150.8667,16.11,84,74,0.89,AU,1712756122
95,isafjordur,66.0755,-23.124,4.02,60,75,1.54,IS,1712756408
96,san fernando,15.0286,120.6898,29.85,73,44,2.62,PH,1712756297
97,punta arenas,-53.15,-70.9167,6.06,70,75,4.63,CL,1712756408
98,kulhudhuffushi,6.6221,73.07,29.78,68,99,2.72,MV,1712756408
99,albany,42.6001,-73.9662,15.13,56,100,0.89,US,1712755891
100,santo antonio,-6.3106,-35.4789,28.35,75,100,0.56,BR,1712756408
101,thunder bay,48.4001,-89.3168,2.99,100,75,2.06,CA,1712756225
102,fale old settlement,-9.3852,-171.2468,29.86,75,73,4.92,TK,1712756408
103,bredasdorp,-34.5322,20.0403,17.2,72,85,6.5,ZA,1712756408
104,susuman,62.7833,148.1667,-17.23,95,46,0.45,RU,1712756408
105,lerwick,60.1545,-1.1494,9.0,78,100,5.69,GB,1712756409
106,abra pampa,-22.7205,-65.697,14.05,50,67,3.95,AR,1712756409
107,acarau,-2.8856,-40.12,29.65,71,100,1.94,BR,1712756134
108,manokwari,-0.8667,134.0833,25.08,90,100,4.15,ID,1712756409
109,damara,4.9608,18.7035,36.78,29,99,2.44,CF,1712756409
110,santo tome,-31.6627,-60.7653,21.12,86,99,2.24,AR,1712756409
111,puerto natales,-51.7236,-72.4875,5.25,75,0,1.54,CL,1712756409
112,kudahuvadhoo,2.6708,72.8944,29.93,71,100,4.73,MV,1712756409
113,westport,41.1415,-73.3579,15.23,65,100,2.68,US,1712756266
114,naze,28.3667,129.4833,18.51,67,6,5.67,JP,1712756410
115,rongelap,11.1635,166.8941,26.79,84,99,10.38,MH,1712756410
116,salaga,8.5508,-0.5188,38.64,31,100,2.14,GH,1712756410
117,puerto baquerizo moreno,-0.9,-89.6,25.49,84,54,2.06,EC,1712756410
118,lauro de freitas,-12.8944,-38.3272,30.01,74,40,2.57,BR,1712756285
119,tanumah,27.1,44.1333,29.54,11,61,8.86,SA,1712756410
120,xilin hot,43.9667,116.0333,9.1,62,12,0.56,CN,1712756410
121,la ligua,-32.4524,-71.2311,19.77,61,37,1.06,CL,1712756354
122,santa ana,33.7456,-117.8678,17.59,52,0,2.06,US,1712756410
123,hamilton,39.1834,-84.5333,14.99,95,100,2.57,US,1712756039
124,hithadhoo,-0.6,73.0833,29.92,70,100,3.43,MV,1712756410
125,ritchie,-29.038,24.6028,22.56,29,0,5.27,ZA,1712756411
126,fort bragg,35.139,-79.006,20.11,80,100,4.12,US,1712756185
127,nova vicosa,-17.8919,-39.3719,29.72,60,52,3.4,BR,1712756411
128,sydney,-33.8679,151.2073,15.73,75,0,4.12,AU,1712756232
129,dzuunmod,48.2199,97.3744,2.74,52,89,2.46,MN,1712756411
